exp.belongs.to,name,path,title,description,description.row,description.file,description.file.name.convention,category.result.multi-result.data.metadata.code,category.sub.metadata,category.sub.data,category.sub.results,assoc.file.dd,assoc.file.protocol,assoc.file.id.lookup,access,access.date,assoc.file.depends.on,profile,format,format.software,format.open.type,format.open.protocol,mediatype,encoding,schema
exp-1,,,,,,,,,,,,,,,,,,,,,,,,,
